customer_id,source_type,predicted_amount,predicted_date,confidence_level,source_note,actual_amount,actual_date,status,sales_rep_id
1,business_sale,500000000,2025-03-15,high,子会社売却による収入,,,predicted,1
2,retirement,30000000,2025-03-31,high,定年退職金,,,predicted,1
3,dividend,2000000,2025-06-30,medium,保有株配当金（年2回分）,,,predicted,3
4,inheritance,100000000,2025-12-31,medium,父親からの相続,,,predicted,4
5,business_sale,800000000,2025-11-30,high,所有ビル売却,,,predicted,5
6,bonus,15000000,2025-12-25,high,年末ボーナス,,,predicted,2
7,maturity,20000000,2026-12-15,high,社債満期償還,,,predicted,1
8,salary,5000000,2025-08-31,medium,月次給与からの投資資金,,,predicted,3
9,dividend,3000000,2025-09-30,medium,保有株配当金,,,predicted,4
10,other,8000000,2025-10-15,low,コンサル契約ボーナス,,,predicted,5
